Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
8/3/2009,3.040972236,3.084611689,2.983552064,3.050159454,47190000,0,0
8/4/2009,2.997333769,3.123658223,2.992740049,3.070831537,69538000,0,0
8/5/2009,3.052457268,3.100690236,3.015708382,3.077722073,61076800,0,0
8/6/2009,3.08920591,3.144329235,2.995036842,3.013411283,95758800,0,0
8/7/2009,3.176484342,3.268356542,3.105283441,3.148922682,140187200,0,0
8/10/2009,3.171890509,3.217826604,3.027191644,3.045566082,69331200,0,0
8/11/2009,3.024894811,3.070830907,2.958287417,2.974364996,48188400,0,0
8/12/2009,2.976661672,3.11676681,2.974364812,3.084611654,63494000,0,0
8/13/2009,3.10758032,3.187968666,3.052456995,3.176484585,56402800,0,0
8/14/2009,3.171890519,3.176484019,3.040972373,3.082314968,42714800,0,0
8/17/2009,2.988146587,2.997333808,2.921539179,2.953694344,46503200,0,0
8/18/2009,2.953693614,3.096095617,2.951396974,3.0616436,63620000,0,0
8/19/2009,3.01570756,3.045566077,2.985849044,3.027191639,55299600,0,0
8/20/2009,3.013411188,3.160406936,3.006520827,3.146625996,81984000,0,0
8/21/2009,3.171890741,3.204045901,3.107579984,3.1994524,60732400,0,0
8/24/2009,3.181077745,3.215529762,3.091502194,3.109876633,46145600,0,0
8/25/2009,3.125954456,3.169593915,3.073127997,3.137438536,44408800,0,0
8/26/2009,3.130548888,3.181078718,3.119064805,3.174188137,43430800,0,0
8/27/2009,3.187968324,3.231607563,3.153516086,3.217826843,55107200,0,0
8/28/2009,3.305105106,3.452100603,3.300511387,3.383196354,88399200,0,0
8/31/2009,3.344151496,3.360229077,3.291324814,3.334964275,43179600,0,0
9/1/2009,3.332667314,3.426836375,3.204046014,3.222420454,73685600,0,0
9/2/2009,3.227014416,3.300512182,3.208639975,3.2683568,40465600,0,0
9/3/2009,3.268356699,3.351041903,3.259169479,3.346448183,53402000,0,0
9/4/2009,3.332667141,3.493443594,3.332667141,3.470475435,51304800,0,0
9/8/2009,3.495740833,3.566941738,3.468179171,3.566941738,54971200,0,0
9/9/2009,3.560051575,3.672595088,3.509521749,3.665704727,57168400,0,0
9/10/2009,3.677188519,3.787435164,3.635845918,3.782841444,60795200,0,0
9/11/2009,3.773654983,3.787435706,3.720828513,3.748389959,71273200,0,0
9/14/2009,3.693266198,3.7231245,3.654220455,3.686375618,49051600,0,0
9/15/2009,3.720826971,3.808105431,3.68637452,3.762169123,54613600,0,0
9/16/2009,3.752983305,3.759873885,3.605987553,3.661110878,70706400,0,0
9/17/2009,3.651923012,3.651923012,3.438320111,3.500333786,92309600,0,0
9/18/2009,3.534786392,3.560051193,3.468178992,3.495740652,60474000,0,0
9/21/2009,3.454397858,3.539379694,3.424539339,3.479662657,58877600,0,0
9/22/2009,3.504927631,3.52559893,3.458991534,3.486553192,36138800,0,0
9/23/2009,3.507224946,3.537083249,3.426836601,3.431430101,47893600,0,0
9/24/2009,3.488850527,3.488850527,3.374010151,3.385494232,55287600,0,0
9/25/2009,3.367119547,3.383197129,3.305105863,3.330370665,37755600,0,0
9/28/2009,3.341854582,3.491146965,3.341854582,3.406165123,46770800,0,0
9/29/2009,3.426836724,3.468179329,3.337261155,3.344151735,47092800,0,0
9/30/2009,3.413055254,3.49344359,3.337260638,3.452100992,87595600,0,0
10/1/2009,3.440617162,3.440617162,3.204046076,3.206342936,99996000,0,0
10/2/2009,3.174187378,3.249981996,3.155812939,3.181077957,61247600,0,0
10/5/2009,3.215530503,3.227014585,3.10987735,3.165000677,75427600,0,0
10/6/2009,3.204045904,3.272950162,3.181077964,3.217826843,76127200,0,0
10/7/2009,3.194859202,3.229311446,3.158110317,3.192562342,45960800,0,0
10/8/2009,3.210936849,3.22012429,3.098393332,3.213233709,124152400,0,0
10/9/2009,3.194858925,3.259169468,3.190265425,3.254575968,61854000,0,0
10/12/2009,3.199452404,3.279840522,3.197155544,3.217826843,49900800,0,0
10/13/2009,3.236201456,3.272950337,3.176484415,3.206342936,60212400,0,0
10/14/2009,3.330370384,3.330370384,3.185671506,3.201749086,110194800,0,0
10/15/2009,3.197156483,3.227015011,3.086909595,3.1075809,109219600,0,0
10/16/2009,3.0685345,3.07772172,2.981255795,3.036379337,101883200,0,0
10/19/2009,3.061644151,3.171891016,3.036379349,3.146625996,69558800,0,0
10/20/2009,3.199452502,3.222420442,3.123657881,3.148922682,66018000,0,0
10/21/2009,3.137438524,3.185671482,3.057050405,3.073127985,50395600,0,0
10/22/2009,3.057050708,3.109877173,3.004224025,3.093799591,37932800,0,0
10/23/2009,3.135141701,3.135141701,3.001926902,3.020301342,42952800,0,0
10/26/2009,3.043270159,3.089206268,2.965178663,2.981256247,48165200,0,0
10/27/2009,2.967475282,3.011114528,2.850338048,2.880196571,59183600,0,0
10/28/2009,2.815885775,2.880196318,2.746981513,2.760762453,77363200,0,0
10/29/2009,2.804401541,2.896273739,2.779136741,2.882493019,63710000,0,0
10/30/2009,2.868712101,2.880196181,2.733200443,2.746981382,60414400,0,0
11/2/2009,2.742388311,2.831963891,2.69415534,2.772246838,59313600,0,0
11/3/2009,2.682671371,2.772246728,2.655109706,2.758466005,87647200,0,0
11/4/2009,2.779137114,2.808995418,2.740091369,2.751575232,91684000,0,0
11/5/2009,2.783729994,2.845743887,2.774542775,2.81818223,95515600,0,0
11/6/2009,2.995036606,3.084612167,2.958287726,3.022598267,164111200,0,0
11/9/2009,3.063941241,3.135142151,3.061644381,3.091502905,81812400,0,0
11/10/2009,3.102987163,3.102987163,2.976662699,3.015708447,78147200,0,0
11/11/2009,3.066237394,3.174187164,3.061643675,3.100689411,87151200,0,0
11/12/2009,3.12825179,3.181078476,3.082315684,3.091502905,50586400,0,0
11/13/2009,3.089205464,3.130548061,3.075424744,3.114470482,38852400,0,0
11/16/2009,3.142032797,3.194859266,3.125954996,3.15811038,40282000,0,0
11/17/2009,3.16040735,3.16040735,3.093799938,3.153516769,35012400,0,0
11/18/2009,3.123658659,3.135142522,3.052457521,3.105284214,45551600,0,0
11/19/2009,3.038676438,3.038676438,2.926132915,2.981256247,83384000,0,0
11/20/2009,2.912352661,2.976663225,2.905462079,2.96288228,42674800,0,0
11/23/2009,3.00652044,3.061643757,2.972068204,2.985849142,39092400,0,0
11/24/2009,2.972069393,2.9927407,2.919242915,2.967475891,41850400,0,0
11/25/2009,3.001927614,3.043270223,2.98125631,3.001927614,44176000,0,0
11/27/2009,2.893977343,2.972068609,2.877899543,2.937616587,27993200,0,0
11/30/2009,2.949099926,3.001926376,2.916944552,2.999629736,50983600,0,0
12/1/2009,3.015708382,3.093799875,2.999630799,3.05934763,46193600,0,0
12/2/2009,3.066237532,3.158109728,3.047863093,3.151219368,60229200,0,0
12/3/2009,3.187968666,3.24538885,3.171891084,3.176484585,66003600,0,0
12/4/2009,3.236201357,3.289027817,3.185671538,3.275247097,82456400,0,0
12/7/2009,3.640439754,3.778248283,3.468179202,3.695563078,273218400,0,0
12/8/2009,3.635845637,3.651923217,3.495740482,3.516411781,107551200,0,0
12/9/2009,3.553160315,3.631251784,3.51870808,3.603689909,67158800,0,0
12/10/2009,3.628955394,3.651923335,3.527895755,3.539379835,41701200,0,0
12/11/2009,3.569238834,3.573832554,3.484256983,3.493444204,41674400,0,0
12/14/2009,3.543973692,3.610581094,3.50492795,3.599097013,40548800,0,0
12/15/2009,3.573832558,3.654220689,3.564645336,3.594503641,44615200,0,0
12/16/2009,3.723123061,3.925242275,3.702452206,3.883899689,168340000,0,0
12/17/2009,3.895384738,4.014818816,3.808106259,3.865526438,101613200,0,0
12/18/2009,3.897681532,3.911462691,3.817293634,3.863229513,81282800,0,0
